id,name,description,base_prompt,variables,example_values,category,mj_params,sd_params,flux_params
1,Fantasy Animal,A template for creating charming magical creatures.,"a charming [animal] with [magical_feature], in the style of [art_style]","animal, magical_feature, art_style","animal: a red panda, magical_feature: glowing runes, art_style: Studio Ghibli",Character,--ar 2:3 --s 250 --v 6.1,"""steps"": 20, ""cfg_scale"": 5, ""sampler"": ""Euler a""","""steps"": 20, ""sampler"": ""euler"""
2,Cyberpunk Portrait,A template for neon-lit character portraits.,"cyberpunk portrait of [subject] with [cybernetics], in [location], [lighting]","subject, cybernetics, location, lighting","subject: a hacker, cybernetics: a glowing optical implant, location: a crowded ramen bar, lighting: cinematic neon",Portrait,--ar 2:3 --s 300 --v 6.1 --style raw,"""steps"": 25, ""cfg_scale"": 7, ""sampler"": ""DPM++ 2M Karras""","""steps"": 20, ""sampler"": ""heun"""
3,Epic Fantasy Landscape,"A template for vast, awe-inspiring landscapes.","epic landscape of [location], with [weather], during [time_of_day], fantasy art","location, weather, time_of_day","location: the floating mountains, weather: a meteor shower, time_of_day: twilight",Landscape,--ar 16:9 --s 500,"""steps"": 30, ""cfg_scale"": 9, ""width"": 1024, ""height"": 576","""steps"": 20, ""width"": 1024, ""height"": 576"
4,Cozy Interior,"A template for warm, inviting interior scenes.","cozy interior of a [room_type], [architecture_style] style, [lighting], [time_of_day]","room_type, architecture_style, lighting, time_of_day","room_type: living room, architecture_style: Scandinavian, lighting: soft ambient, time_of_day: rainy evening",Interior,--ar 3:2 --s 200,"""steps"": 25, ""cfg_scale"": 6, ""sampler"": ""Euler a""","""steps"": 20, ""sampler"": ""ipndm"""
5,Sci-Fi Vehicle,A template for designing futuristic vehicles.,"sci-fi [vehicle_type], [material] body, [propulsion_type] propulsion, in [environment]","vehicle_type, material, propulsion_type, environment","vehicle_type: hover car, material: carbon fiber, propulsion_type: anti-gravity, environment: a futuristic highway",Object,--ar 16:9 --v 6.1,"""steps"": 28, ""cfg_scale"": 8, ""sampler"": ""DPM++ 2M Karras""","""steps"": 20, ""sampler"": ""euler"""
6,Character Concept,A template for character design sheets.,"character concept of a [character_description], [outfit], [pose], [style]","character_description, outfit, pose, style","character_description: young elf archer, outfit: forest camouflage, pose: aiming a bow, style: concept art",Character,--ar 1:1 --s 150,"""steps"": 22, ""cfg_scale"": 6, ""sampler"": ""Euler a""","""steps"": 20, ""sampler"": ""heun"""
7,Product Shot,"A template for clean, professional product photography.","product photography of a [product], [product_type], [lighting], professional studio shot","product, product_type, lighting","product: a ceramic mug, product_type: kitchenware, lighting: softbox lighting",Object,--ar 1:1 --v 6.1,"""steps"": 20, ""cfg_scale"": 7, ""sampler"": ""DDIM""","""steps"": 20, ""sampler"": ""euler"""
8,Historical Portrait,A template for portraits from specific historical eras.,"portrait of a [figure_description], [profession], from the [era], [setting]","figure_description, profession, era, setting","figure_description: a noblewoman, profession: queen, era: Renaissance, setting: a castle hall",Portrait,--ar 2:3 --v 6.1,"""steps"": 30, ""cfg_scale"": 7, ""sampler"": ""DPM++ 2M Karras""","""steps"": 20, ""sampler"": ""heun"""
9,Abstract Concept,A template for visualizing abstract ideas.,"abstract art representing [concept], [color_palette], [shapes], [mood]","concept, color_palette, shapes, mood","concept: innovation, color_palette: blue and silver, shapes: geometric, mood: futuristic",Style,--ar 1:1 --s 400,"""steps"": 25, ""cfg_scale"": 10, ""sampler"": ""Euler a""","""steps"": 20, ""sampler"": ""ipndm"""
10,Post-Apocalyptic Scene,"A template for desolate, abandoned environments.","post-apocalyptic scene of [location], [condition], [weather], [time_of_day]","location, condition, weather, time_of_day","location: a city street, condition: overgrown, weather: hazy, time_of_day: golden hour",Landscape,--ar 16:9 --s 300,"""steps"": 35, ""cfg_scale"": 8, ""sampler"": ""DPM++ 2M Karras""","""steps"": 20, ""sampler"": ""euler"""
11,Magical Artifact,A template for mystical objects and items.,"magical [artifact_type], made of [material], with a [magical_effect], [style]","artifact_type, material, magical_effect, style","artifact_type: an ancient amulet, material: enchanted gold, magical_effect: a glowing aura, style: intricate detailing",Object,--ar 1:1 --s 250,"""steps"": 25, ""cfg_scale"": 7, ""sampler"": ""Euler a""","""steps"": 20, ""sampler"": ""heun"""
12,Urban Sketch,"A template for loose, artistic cityscapes.","urban sketch of [city_element], [drawing_style], [medium], [time_of_day]","city_element, drawing_style, medium, time_of_day","city_element: a street cafe, drawing_style: watercolor, medium: ink and wash, time_of_day: morning",Style,--ar 3:2 --s 100,"""steps"": 20, ""cfg_scale"": 5, ""sampler"": ""Euler a""","""steps"": 20, ""sampler"": ""euler"""
13,Gourmet Food,A template for appetizing food photography.,"gourmet food photography of [dish], [cuisine], [garnish], [lighting]","dish, cuisine, garnish, lighting","dish: chocolate lava cake, cuisine: French pastry, garnish: raspberry coulis, lighting: warm and soft",Object,--ar 4:5 --s 200,"""steps"": 20, ""cfg_scale"": 6, ""sampler"": ""Euler a""","""steps"": 20, ""sampler"": ""heun"""
14,Mythological Scene,A template for scenes from myths and legends.,"mythological scene of [mythological_being] and [creature], [action], [setting]","mythological_being, creature, action, setting","mythological_being: Zeus, creature: a cyclops, action: battling with lightning, setting: Mount Olympus",Style,--ar 16:9 --s 350,"""steps"": 30, ""cfg_scale"": 9, ""sampler"": ""DPM++ 2M Karras""","""steps"": 20, ""sampler"": ""heun"""
15,Steampunk Machine,A template for intricate steampunk devices.,"steampunk [device_type], made of [material], with [mechanisms], [purpose]","device_type, material, mechanisms, purpose","device_type: a flying machine, material: brass and copper, mechanisms: gears and steam, purpose: personal transportation",Object,--ar 3:2 --s 275,"""steps"": 28, ""cfg_scale"": 7, ""sampler"": ""DPM++ 2M Karras""","""steps"": 20, ""sampler"": ""heun"""
16,Album Cover,A template for music album artwork.,"album cover for a [genre] album, [mood], [art_style], [era]","genre, mood, art_style, era","genre: synthwave, mood: nostalgic, art_style: retro vaporwave, era: 1980s",Style,--ar 1:1 --s 225,"""steps"": 22, ""cfg_scale"": 8, ""sampler"": ""Euler a""","""steps"": 20, ""sampler"": ""euler"""
17,Botanical Illustration,A template for detailed plant and flower images.,"botanical illustration of [plant], [season], [style], [lighting]","plant, season, style, lighting","plant: a rare orchid, season: spring, style: scientific illustration, lighting: soft natural light",Object,--ar 4:5 --s 175,"""steps"": 25, ""cfg_scale"": 6, ""sampler"": ""Euler a""","""steps"": 20, ""sampler"": ""heun"""
18,Underwater Scene,A template for aquatic and oceanic environments.,"underwater scene of [marine_environment], [marine_life], [lighting], [perspective]","marine_environment, marine_life, lighting, perspective","marine_environment: a coral reef, marine_life: tropical fish, lighting: sunbeams filtering down, perspective: wide angle",Landscape,--ar 16:9 --s 250,"""steps"": 30, ""cfg_scale"": 7, ""sampler"": ""DPM++ 2M Karras""","""steps"": 20, ""sampler"": ""heun"""
